unique_id,beschrijvende_id,volledige_naam,Ident_8,lve_nr,Kmp_Rsys,Rijstrook,X_EPSG_31370,Y_EPSG_31370,Lon_EPSG_4326,Lat_EPSG_4326
2374,H192L00,E313 Spitsstrook kmpt. 4,495,A0130001,373,4.937,R09,160076.7315,211326.363,4.512960263,51.21180284
1042,S106L10,complex Stabroek (13) (deel 1),A0122651,128,0.62,R10,148726.205,224051.4755,4.350482716,51.32626929
2373,H192L30,E313 Spitsstrook kmpt. 4,288,A0130001,372,4.203,R12,159343.8743,211294.129,4.502471903,51.21152739
1041,S192L20,complex Stabroek (13) (deel 1),A0120001,128,47.186,R11,148703.2631,224047.3931,4.35015626,51.32623255
2372,H192L20,E313 Spitsstrook kmpt. 4,288,A0130001,372,4.203,R11,159343.8743,211294.129,4.502471903,51.21152739
1040,S192L10,complex Stabroek (13) (deel 1),A0120001,128,47.186,R10,148703.2631,224047.3931,4.35015626,51.32623255
2371,H192L10,E313 Spitsstrook kmpt. 4,288,A0130001,372,4.203,R10,159343.8743,211294.129,4.502471903,51.21152739
2370,H192L00,E313 Spitsstrook kmpt. 4,288,A0130001,372,4.203,R09,159343.8743,211294.129,4.502471903,51.21152739
1039,H207L10,complex Stabroek (13) (deel 1),A0122621,128,0.122,R10,148638.439,224175.3477,4.349220179,51.32738246
1038,H291L20,complex Stabroek (13) (deel 1),A0120002,128,47.203,R11,148669.1947,224060.6655,4.349667478,51.32635176
2369,H192L30,E313 Spitsstrook kmpt. 3,390,A0130001,371,3.427,R12,158565.6447,211242.5489,4.491333914,51.21107695
1037,H291L10,complex Stabroek (13) (deel 1),A0120002,128,47.203,R10,148669.1947,224060.6655,4.349667478,51.32635176
2368,H192L20,E313 Spitsstrook kmpt. 3,390,A0130001,371,3.427,R11,158565.6447,211242.5489,4.491333914,51.21107695
1036,S105L10,complex Deinze (7),A0141081,126,0.275,R10,93295.7169,183050.1907,3.561715694,50.95495914
2367,H192L10,E313 Spitsstrook kmpt. 3,390,A0130001,371,3.427,R10,158565.6447,211242.5489,4.491333914,51.21107695
1035,S106L10,complex Deinze (7),A0141051,126,0.514,R10,93343.6795,182996.6083,3.562406538,50.95448219
2366,H192L00,E313 Spitsstrook kmpt. 3,390,A0130001,371,3.427,S09,158565.6447,211242.5489,4.491333914,51.21107695
1034,S108L10,complex Deinze (7),A0141011,126,0.26,R10,93179.4077,182858.7989,3.560090107,50.95322741
2365,H192L30,E313 Spitsstrook kmpt. 2,730,A0130001,370,2.687,R12,157831.5465,211192.9097,4.480827705,51.21064126
3696,H121L00,Snede Herent  Winksele,A0020002,226,82.422,R09,171843.5351,175634.3453,4.679207503,50.89064908
3697,H121L10,Snede Herent  Winksele,A0020002,226,82.422,R10,171843.5351,175634.3453,4.679207503,50.89064908
3698,H121L20,Snede Herent  Winksele,A0020002,226,82.422,R11,171843.5351,175634.3453,4.679207503,50.89064908
3699,H122L00,Snede Winksele  Leuven 1,A0020001,227,83.861,R09,171064.4449,174445.2115,4.668066396,50.87998837
1055,S202L10,knooppunt Antwerpen-Haven + complex Stab,A0122661,129,0.493,R10,148727.1143,223422.7827,4.350500544,51.32061859
2386,H192L00,E313 Spitsstrook kmpt. 7,410,A0130001,376,7.304,S09,162388.7839,211070.6609,4.546038017,51.20946225
1054,S292L20,knooppunt Antwerpen-Haven + complex Stab,A0120002,129,46.564,R11,148758.5243,223428.8015,4.350951068,51.32067276
2385,H192L30,E313 Spitsstrook kmpt. 6,500,A0130001,375,6.486,R12,161610.505,211317.2349,4.534902474,51.21169481
1053,S292L10,knooppunt Antwerpen-Haven + complex Stab,A0120002,129,46.564,R10,148758.5243,223428.8015,4.350951068,51.32067276
2384,H192L20,E313 Spitsstrook kmpt. 6,500,A0130001,375,6.486,R11,161610.505,211317.2349,4.534902474,51.21169481
1052,S207L20,knooppunt Antwerpen-Haven + complex Stab,R0022261,129,0.15,R10,148754.5423,223430.3557,4.350893945,51.32068671
2383,H192L10,E313 Spitsstrook kmpt. 6,500,A0130001,375,6.486,R10,161610.505,211317.2349,4.534902474,51.21169481
1051,S207L10,knooppunt Antwerpen-Haven + complex Stab,R0024761,129,0.56,R10,148745.1061,223429.1365,4.350758596,51.32067574
2382,H192L00,E313 Spitsstrook kmpt. 6,500,A0130001,375,6.486,S09,161610.505,211317.2349,4.534902474,51.21169481
1050,H208L20,knooppunt Antwerpen-Haven + complex Stab,R0020002,129,89.554,R11,148547.6233,223052.3457,4.347927374,51.31728868
2381,H192L30,E313 Spitsstrook kmpt. 5,750,A0130001,374,5.726,R12,160857.7909,211360.7649,4.524138627,51.21210077
2380,H192L20,E313 Spitsstrook kmpt. 5,750,A0130001,374,5.726,R11,160857.7909,211360.7649,4.524138627,51.21210077
1049,H208L10,knooppunt Antwerpen-Haven + complex Stab,R0020002,129,89.554,R10,148547.6233,223052.3457,4.347927374,51.31728868
1048,H206L20,knooppunt Antwerpen-Haven + complex Stab,R0020001,129,89.557,R11,148548.7659,223037.1549,4.347943821,51.31715215
2379,H192L10,E313 Spitsstrook kmpt. 5,750,A0130001,374,5.726,R10,160857.7909,211360.7649,4.524138627,51.21210077
1047,H206L10,knooppunt Antwerpen-Haven + complex Stab,R0020001,129,89.557,R10,148548.7659,223037.1549,4.347943821,51.31715215
2378,H192L00,E313 Spitsstrook kmpt. 5,750,A0130001,374,5.726,S09,160857.7909,211360.7649,4.524138627,51.21210077
1046,H205L20,knooppunt Antwerpen-Haven + complex Stab,R0022231,129,0.815,R11,148551.6575,223016.861,4.347985377,51.31696279
2377,H192L30,E313 Spitsstrook kmpt. 4,495,A0130001,373,4.937,R12,160076.7315,211326.363,4.512960263,51.21180284
1045,H205L10,knooppunt Antwerpen-Haven + complex Stab,R0022231,129,0.815,R10,148551.6575,223016.861,4.347985377,51.31696279
2376,H192L20,E313 Spitsstrook kmpt. 4,495,A0130001,373,4.937,R11,160076.7315,211326.363,4.512960263,51.21180284
1066,H191L20,complex Tervuren - 4-armen (1) (zuidzijd,R0000002,131,23.804,R11,157416.7199,167211.6409,4.473993773,50.81529762
2397,S108L10,E313 Spitsstrook kmpt. 8,375,A0139402,377,7.845,R10,162901.3245,210890.1623,4.553365889,51.20782859
1065,H191L10,complex Tervuren - 4-armen (1) (zuidzijd,R0000002,131,23.804,R10,157416.7199,167211.6409,4.473993773,50.81529762
2396,S105L10,E313 Spitsstrook kmpt. 8,375,A0139411,377,7.86,R10,162891.2143,210842.8165,4.55321953,51.20740325
1064,H192L20,complex Tervuren - 4-armen (1) (zuidzijd,R0000001,131,23.808,R11,157432.859,167217.7027,4.474211937,50.81535192
2395,H192L40,E313 Spitsstrook kmpt. 8,375,A0130001,377,8.139,R12,163158.1443,210745.5147,4.557035514,51.20652262
1063,H192L10,complex Tervuren - 4-armen (1) (zuidzijd,R0000001,131,23.808,R10,157432.859,167217.7027,4.474211937,50.81535192
2394,H192L30,E313 Spitsstrook kmpt. 8,375,A0130001,377,8.139,R11,163158.1443,210745.5147,4.557035514,51.20652262
1062,H206L10,complex Tervuren - 4-armen (1) (noordzij,R0001651,130,0.254,R10,157784.7563,168363.7137,4.479240624,50.82564942
2393,H192L20,E313 Spitsstrook kmpt. 8,375,A0130001,377,8.139,R10,163158.1443,210745.5147,4.557035514,51.20652262
1061,H292L20,complex Tervuren - 4-armen (1) (noordzij,R0000001,130,25.2,R11,157775.2717,168364.5577,4.479106028,50.82565714
2392,H192L10,E313 Spitsstrook kmpt. 8,375,A0130001,377,8.139,S09,163158.1443,210745.5147,4.557035514,51.20652262
